#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
GLOBAL TV,https://stream.freetv.fun/global-tv-1.m3u8
Game Show Central[geo-blocked],https://stream.freetv.fun/game-show-central-1.m3u8
Game Show Central,https://stream.freetv.fun/game-show-central-2.m3u8
Game Show Central,https://stream.freetv.fun/game-show-central-3.m3u8
TSNcanada,https://stream.freetv.fun/gtn-canada-1.m3u8
Generic,#genre#
City TV,https://stream.freetv.fun/big-city-tv-1.m3u8
City TV,https://stream.freetv.fun/city-tv-3.m3u8
City TV,https://stream.freetv.fun/city-tv-4.ctv
City TV[geo-blocked],https://stream.freetv.fun/lnktv-city-1.m3u8
City TV,https://stream.freetv.fun/city-tv-1.m3u8
新時代電視[geo-blocked],https://stream.freetv.fun/xin-shi-dai-dian-shi-1.ctv
新時代電視[geo-blocked],https://stream.freetv.fun/xin-shi-dai-dian-shi-er-1.ctv
Kids,#genre#
Canal 9 TV,https://stream.freetv.fun/canal-8-tv-plus-1.m3u8
Kidoodle.TV,https://stream.freetv.fun/kidoodle-tv-1.m3u8
Kidoodle.TV,https://stream.freetv.fun/kidoodle-tv-2.m3u8
Kidoodle.TV,https://stream.freetv.fun/kidoodle-1.m3u8
TVO kids,https://stream.freetv.fun/tvo-1.m3u8
Treehouse,https://stream.freetv.fun/ch-ng-treehouse-1.m3u8
YTV,https://stream.freetv.fun/ytv1-1.ctv
YTV,https://stream.freetv.fun/ytv2-1.ctv
YTV,https://stream.freetv.fun/ytv1-2.ctv
YTV,https://stream.freetv.fun/ytv2-2.ctv
Knowledge,#genre#
Love 4K Nature,https://stream.freetv.fun/love-nature-6.ctv
News,#genre#
AMI Tele,https://stream.freetv.fun/tele-m1-1.m3u8
AMI-tv,https://stream.freetv.fun/ramogi-tv-1.m3u8
AMI-tv,https://stream.freetv.fun/sampit-tv-1.m3u8
APTN,https://stream.freetv.fun/apt-1.m3u8
CMT Canada,https://stream.freetv.fun/cmt-1.ctv
CP 24,https://stream.freetv.fun/ch-ng-cp-24-1.m3u8
CPAC,https://stream.freetv.fun/cpac-1.m3u8
CTV2 OTTAWA,https://stream.freetv.fun/ctv2-1.ctv
Global News,https://stream.freetv.fun/ch-ng-global-news-1.m3u8
TV5 Unis,https://stream.freetv.fun/tv5-2.m3u8
Other,#genre#
CTV,https://stream.freetv.fun/ctv-9-1.m3u8
CTV,https://stream.freetv.fun/cdtv-1.m3u8
CTV,https://stream.freetv.fun/ctv-1.ctv
CTV,https://stream.freetv.fun/actv-1.m3u8
CTV[geo-blocked],https://stream.freetv.fun/rctv-1.m3u8
TVA,https://stream.freetv.fun/tva-1.m3u8
TVA,https://stream.freetv.fun/tva-2.m3u8
TeleToon Canada,https://stream.freetv.fun/teletoon-1.m3u8
Sports,#genre#
Fight Channel,https://stream.freetv.fun/lightchannel-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/three-angels-broadcasting-network-praise-him-music-network-1.m3u8
Fox Sports Racing[geo-blocked],https://stream.freetv.fun/bloomberg-tv-asia-live-event-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/cbs-news-colorado-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/filmstream-europe-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/rakuten-tv-films-francais-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/rakuten-action-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/rakuten-tv-films-action-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/match--football-3-bundes-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/match--football-1-seria-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/starsports-select-1-premier-league-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/africanews-francais-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/action-hollywood-movies-2.m3u8
Fox Sports Racing[geo-blocked],https://stream.freetv.fun/wapt-tv-news-jackson-ms-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/citynews-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/palestine-satellite-channel-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/superscreen-tv-1.m3u8
Fox Sports Racing[geo-blocked],https://stream.freetv.fun/kvvb-tv-33-victor-valley-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/1-2-3-tv-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/mqtv-1.m3u8
Fox Sports Racing[geo-blocked],https://stream.freetv.fun/pluto-tv-backcountry-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/zoo-moo-kids-2.m3u8
Fox Sports Racing,https://stream.freetv.fun/sada-e-haq-tv-1.m3u8
Fox Sports Racing[geo-blocked],https://stream.freetv.fun/beach-tv-florida---alabama-1.m3u8
Fox Sports Racing[geo-blocked],https://stream.freetv.fun/beach-tv-myrtle-beach---the-grand-strand-1.m3u8
Fox Sports Racing,https://stream.freetv.fun/mqtv-2.m3u8
Fox Sports Racing[geo-blocked],https://stream.freetv.fun/pluto-tv-backcountry-2.m3u8
