#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


綜藝,#genre#
ROCK Entertainment[geo-blocked],https://stream.freetv.fun/ph-rock-entertainment-1.ctv
ROCK Entertainment,https://stream.freetv.fun/rock-entertainment-1.ctv
TVBS綜藝[geo-blocked],https://stream.freetv.fun/tvbszong-yi-2.ctv
TVN(TW),https://stream.freetv.fun/tvn-3.ctv
TVN(TW),https://stream.freetv.fun/tvn-1.m3u8
TVN(TW),https://stream.freetv.fun/tvn-2.m3u8
三立都會[geo-blocked],https://stream.freetv.fun/san-li-du-hui-1.ctv
三立都會[geo-blocked],https://stream.freetv.fun/san-li-du-hui-2.m3u8
三立都會[geo-blocked],https://stream.freetv.fun/san-li-du-hui-3.ctv
八大娛樂臺[geo-blocked],https://stream.freetv.fun/ba-da-yu-le-2.ctv
八大娛樂臺,https://stream.freetv.fun/ba-da-yu-le-1.ctv
民視綜藝[geo-blocked],https://stream.freetv.fun/min-shi-zong-yi-1.ctv
民視綜藝,https://stream.freetv.fun/min-shi-zong-yi-2.ctv
緯來日本[geo-blocked],https://stream.freetv.fun/wei-lai-ri-ben-8.m3u8
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來日本[geo-blocked],https://stream.freetv.fun/wei-lai-ri-ben-6.ctv
緯來日本[geo-blocked],https://stream.freetv.fun/wei-lai-ri-ben-7.ctv
緯來日本,rtmp://220.130.201.73/sat/tv771
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來日本,rtmp://220.130.201.73/sat/tv771
緯來日本,rtmp://f13h.mine.nu/sat/tv771
美好1臺[geo-blocked],https://stream.freetv.fun/mei-hao-1-1.m3u8
美好2臺[geo-blocked],https://stream.freetv.fun/mei-hao-2-1.m3u8
綜合,#genre#
ELTA綜合HD[geo-blocked],https://stream.freetv.fun/eltazong-he-1.ctv
ELTA綜合HD[geo-blocked],https://stream.freetv.fun/eltazong-he-2.ctv
MOMO綜合,rtmp://f13h.mine.nu/sat/tv761
MOMO綜合,rtmp://f13h.mine.nu/sat/tv761
MOMO綜合,rtmp://f13h.mine.nu/sat/tv761
TVBS[geo-blocked],https://stream.freetv.fun/tvbs-2.m3u8
TVBS,https://stream.freetv.fun/tvbs-4.ctv
TVBS[geo-blocked],https://stream.freetv.fun/tvbs-huan-le-1.ctv
TVBS[geo-blocked],https://stream.freetv.fun/tvbs-5.ctv
TVBS,https://stream.freetv.fun/tvbs-xin-wen-2.ctv
TVBS[geo-blocked],https://stream.freetv.fun/tvbs-6.m3u8
TVBS[geo-blocked],https://stream.freetv.fun/tvbs-huan-le-2.ctv
TVBS[geo-blocked],https://stream.freetv.fun/tvbs-7.ctv
TVBS,https://stream.freetv.fun/tvbs-3.m3u8
TVBS[geo-blocked],https://stream.freetv.fun/tvbs-xin-wen-1.ctv
TVBS,https://stream.freetv.fun/tvbs-1.m3u8
TVBS Asia[geo-blocked],https://stream.freetv.fun/tvbs-asia-2.ctv
TVBS Asia,https://stream.freetv.fun/tvbs-asia-4.ctv
TVBS Asia[geo-blocked],https://stream.freetv.fun/tvbs-asia-3.ctv
TVBS Asia,https://stream.freetv.fun/tvbs-asia-1.m3u8
TVBS Asia,https://stream.freetv.fun/tvbs-aisa-1.m3u8
TVBS HD,https://stream.freetv.fun/tvbs-n-1.m3u8
TVBS綜合[geo-blocked],https://stream.freetv.fun/tvbszong-yi-1.ctv
WIN HD綜合,https://stream.freetv.fun/win-1.ctv
WIN HD綜合,https://stream.freetv.fun/win-2.m3u8
三立綜合[geo-blocked],https://stream.freetv.fun/san-li-zong-he-1.m3u8
三立臺灣,https://stream.freetv.fun/san-li-tai-wan-4.ctv
三立臺灣,https://stream.freetv.fun/san-li-tai-wan-2.ctv
三立臺灣,https://stream.freetv.fun/san-li-tai-wan-1.ctv
中天亞洲[geo-blocked],https://stream.freetv.fun/zhong-tian-ya-zhou-3.ctv
中天亞洲,https://stream.freetv.fun/zhong-tian-ya-zhou-5.ctv
中天亞洲,https://stream.freetv.fun/zhong-tian--ya-zhou-1.m3u8
中天亞洲[geo-blocked],https://stream.freetv.fun/zhong-tian-ya-zhou-4.ctv
中天亞洲[geo-blocked],https://stream.freetv.fun/zhong-tian-ya-zhou-1.m3u8
中天亞洲FHD[geo-blocked],https://stream.freetv.fun/zhong-tian-ya-zhou-2.m3u8
中視,rtmp://f13h.mine.nu/sat/tv091
中視,https://stream.freetv.fun/zhong-shi-5.ctv
中視,rtmp://f13h.mine.nu/sat/tv091
中視[geo-blocked],https://stream.freetv.fun/zhong-shi-8.m3u8
中視,https://stream.freetv.fun/zhong-shi-9.ctv
中視[geo-blocked],https://stream.freetv.fun/zhong-shi-3.m3u8
中視[geo-blocked],https://stream.freetv.fun/zhong-shi-4.m3u8
中視,rtmp://f13h.mine.nu/sat/tv091
中視[geo-blocked],https://stream.freetv.fun/zhong-shi-2.m3u8
中視經典[geo-blocked],https://stream.freetv.fun/zhong-shi-jing-dian-2.m3u8
信大電視臺[geo-blocked],https://stream.freetv.fun/xin-da-dian-shi-1.m3u8
