#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Generic,#genre#
5 Mediacorp[geo-blocked],https://stream.freetv.fun/mediacorp-8world-1.m3u8
Channel 5,https://stream.freetv.fun/channel-5-1.ctv
Channel 5,https://stream.freetv.fun/dc-council-channel-1.m3u8
DIVA Universal,https://stream.freetv.fun/tv-universal-1.m3u8
Kids,#genre#
Ani-One Asia,https://stream.freetv.fun/ani-1.m3u8
Animax Asia,https://stream.freetv.fun/animax-4.ctv
Animax Asia,https://stream.freetv.fun/animax-5.ctv
Animax Asia,https://stream.freetv.fun/animax-6.ctv
Animax Asia,https://stream.freetv.fun/animax-3.ctv
Miao Mi TV,https://stream.freetv.fun/miami-tv-1.m3u8
Movies,#genre#
AXN,https://stream.freetv.fun/axn-7.ctv
AXN,https://stream.freetv.fun/axn-3.m3u8
AXN,https://stream.freetv.fun/ph-axn-1.ctv
AXN,https://stream.freetv.fun/axn-1.ctv
AXN,https://stream.freetv.fun/axn-5.m3u8
AXN,https://stream.freetv.fun/axn-6.m3u8
AXN HD,https://stream.freetv.fun/axn-8.m3u8
AXN HD,https://stream.freetv.fun/axn-4.ctv
Channel 8,https://stream.freetv.fun/channel-y-1.m3u8
Channel 8,https://stream.freetv.fun/channel-8-1.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/mcn6-arts-channel-2.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/mcn6-music-channel-2.m3u8
Channel 8,https://stream.freetv.fun/wfmz-tv-channel-69-2.m3u8
Channel 8,https://stream.freetv.fun/channel-11-2.m3u8
Channel 8,https://stream.freetv.fun/tempe-channel-11-2.m3u8
Channel 8,https://stream.freetv.fun/february-channel-1.m3u8
Channel 8,https://stream.freetv.fun/z--channel-1.m3u8
Channel 8,https://stream.freetv.fun/mix-major-channel-1.m3u8
Channel 8,https://stream.freetv.fun/zainabia-channel-1.m3u8
Channel 8,https://stream.freetv.fun/cooking-channel-1.ctv
Channel 8,https://stream.freetv.fun/xi-la-ionian-channel-1.m3u8
Channel 8,https://stream.freetv.fun/bso-channel-1.m3u8
Channel 8,https://stream.freetv.fun/calabasas-channel-1.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/magna-channel-1.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/expo-channel-1.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/magna-channel-2.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/lakewood-channel-8-1.m3u8
Channel 8,https://stream.freetv.fun/ch-ng-channel-neco-1.m3u8
Channel 8,https://stream.freetv.fun/ch-ng-tabi-channel-1.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/the-lego-channel-1.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/all-babies-channel-1.m3u8
Channel 8[geo-blocked],https://stream.freetv.fun/the-lego-channel-2.ctv
Channel 8[geo-blocked],https://stream.freetv.fun/dove-channel-3.m3u8
Channel 8,https://stream.freetv.fun/ch-ng-green-channel-1.m3u8
Channel 8,https://stream.freetv.fun/cable-channel-37-1.m3u8
Channel 8,https://stream.freetv.fun/on-e-channel-1.m3u8
Channel 8,https://stream.freetv.fun/xi-la-ionian-channel-2.m3u8
