#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Generic,#genre#
7 HD Australia,https://stream.freetv.fun/sky-1-australia-1.ctv
ABC TV,https://stream.freetv.fun/abc-tv-1.m3u8
ABC TV,https://stream.freetv.fun/abc-tv-2.m3u8
ABC TV,https://stream.freetv.fun/abc-tv-3.m3u8
Australia Channel,https://stream.freetv.fun/hope-channel-australia-1.m3u8
Channel 31 Melbourne,https://stream.freetv.fun/3aw-melbourne-1.m3u8
Channel 31 Melbourne,https://stream.freetv.fun/c31-melbourne-1.m3u8
Eleven Australia,rtmp://f13h.mine.nu/sat/tv741
Eleven Australia,rtmp://f13h.mine.nu/sat/tv731
Nine Life Australia,https://stream.freetv.fun/time-line-australia-1.m3u8
TVSN Australia[geo-blocked],https://stream.freetv.fun/tvsn-1.m3u8
Knowledge,#genre#
Hillsong Channel,https://stream.freetv.fun/hillsong-channel-1.ctv
News,#genre#
ABC Australia,https://stream.freetv.fun/abc-australia-2.ctv
ABC Australia,https://stream.freetv.fun/ph-abc-austrailia-1.ctv
ABC Australia,https://stream.freetv.fun/abc-australia-3.ctv
ABC Australia,https://stream.freetv.fun/abc-australia-4.ctv
ABC Australia,https://stream.freetv.fun/abc-australia-5.ctv
ABC Australia,https://stream.freetv.fun/abc-australia-6.ctv
ABC Australia,https://stream.freetv.fun/abc-australia-1.ctv
ABC NEWS 24,https://stream.freetv.fun/la-c-news-24-2.m3u8
ABC NEWS 24,https://stream.freetv.fun/la-c-news-24-1.m3u8
NBN TV,https://stream.freetv.fun/nrb-tv-2.m3u8
Sports,#genre#
Ski TV[geo-blocked],https://stream.freetv.fun/sakti-tv-1.m3u8
Ski TV,https://stream.freetv.fun/sai-tv-1.m3u8
beIN Sports Australia,https://stream.freetv.fun/bein-sports-xtra-australia-1.m3u8
