#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


綜藝,#genre#
澳視綜藝[geo-blocked],https://stream.freetv.fun/ao-men-zong-yi-1.m3u8
澳視葡文[geo-blocked],https://stream.freetv.fun/ao-shi-pu-wen-1.m3u8
澳門MACAU,https://stream.freetv.fun/ao-men-macau-2.m3u8
澳門MACAU,https://stream.freetv.fun/ao-men-macau-3.m3u8
澳門MACAU[geo-blocked],https://stream.freetv.fun/ao-men-macau-1.m3u8
綜合,#genre#
澳視澳門,https://stream.freetv.fun/ao-shi-ao-men-2.m3u8
澳視澳門,https://stream.freetv.fun/ao-shi-ao-men-3.m3u8
澳視澳門,https://stream.freetv.fun/ao-shi-ao-men-4.ctv
澳視澳門[geo-blocked],https://stream.freetv.fun/ao-shi-ao-men-1.ctv
澳視澳門[geo-blocked],https://stream.freetv.fun/ch-ng-ao-shi-ao-men-1.m3u8
澳門蓮花[geo-blocked],https://stream.freetv.fun/ao-men-lian-hua-1.m3u8
澳門衛視,https://stream.freetv.fun/ao-men-wei-shi-1.ctv
澳門衛視,https://stream.freetv.fun/ao-men-wei-shi-2.ctv
新聞,#genre#
澳門資訊,https://stream.freetv.fun/ao-men-zi-xun-5.ctv
澳門資訊,https://stream.freetv.fun/ao-men-zi-xun-2.ctv
澳門資訊[geo-blocked],https://stream.freetv.fun/ao-men-zi-xun-1.m3u8
澳門資訊,https://stream.freetv.fun/ao-men-zi-xun-4.m3u8
澳門資訊,https://stream.freetv.fun/ao-men-zi-xun-3.m3u8
其它,#genre#
澳亞衛視,https://stream.freetv.fun/ao-ya-wei-shi-2.ctv
澳亞衛視,https://stream.freetv.fun/ao-ya-wei-shi-1.ctv
運動,#genre#
澳視體育[geo-blocked],https://stream.freetv.fun/ch-ng-ao-shi-ti-yu-1.m3u8
澳視體育[geo-blocked],https://stream.freetv.fun/ao-men-ti-yu-1.m3u8
