#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
BET,https://stream.freetv.fun/bet-1.m3u8
Big TEN Network,https://stream.freetv.fun/big-ten-network-1.ctv
Bravo[geo-blocked],https://stream.freetv.fun/bravo-2.m3u8
Bravo,https://stream.freetv.fun/bravo-3.ctv
Bravo,https://stream.freetv.fun/bravo-1.m3u8
CLassica[geo-blocked],https://stream.freetv.fun/classica-2.m3u8
CLassica[geo-blocked],https://stream.freetv.fun/classica-1.m3u8
California Music Channel,https://stream.freetv.fun/california-music-channel-1.m3u8
California Music Channel,https://stream.freetv.fun/cmc-california-music-channel-1.m3u8
Comedy Central,https://stream.freetv.fun/vf-comedy-1.m3u8
Comedy Central,https://stream.freetv.fun/z--comedy-1.m3u8
Comedy Central,https://stream.freetv.fun/fresh-comedy-1.m3u8
Comedy Central,https://stream.freetv.fun/kli-comedy-1.m3u8
Comedy Central,https://stream.freetv.fun/comedy-play-1.m3u8
Comedy Central[geo-blocked],https://stream.freetv.fun/comedy-hub-1.m3u8
Comedy Central,https://stream.freetv.fun/comedy-movie-1.ctv
Comedy Central,https://stream.freetv.fun/cbc-comedy-1.m3u8
Comedy Central,https://stream.freetv.fun/bcu-comedy-1.m3u8
DJING TV,https://stream.freetv.fun/jin-tv-1.m3u8
Discovery Showcase HD,https://stream.freetv.fun/showcase-2.ctv
E! HD[geo-blocked],https://stream.freetv.fun/e-2.m3u8
E! HD,https://stream.freetv.fun/e-3.ctv
E! HD,https://stream.freetv.fun/e-4.ctv
E! HD,https://stream.freetv.fun/e-5.ctv
E! HD,https://stream.freetv.fun/e-6.ctv
E! HD,https://stream.freetv.fun/e-7.ctv
E! HD[geo-blocked],https://stream.freetv.fun/e--entertainment-2.ctv
E!Entertainment,https://stream.freetv.fun/e--entertainment-1.m3u8
E!Entertainment,https://stream.freetv.fun/e--entertairment-1.m3u8
FMP TV,https://stream.freetv.fun/lfm-tv-1.m3u8
Lifetime[geo-blocked],https://stream.freetv.fun/lifetime-2.m3u8
Lifetime,https://stream.freetv.fun/lifetime-2-1.m3u8
Lifetime,https://stream.freetv.fun/ph-lifetime-1.ctv
Lifetime,https://stream.freetv.fun/242-lifetime-1.m3u8
Lifetime,https://stream.freetv.fun/life-time-1.m3u8
Lifetime,https://stream.freetv.fun/lifetime-5.m3u8
Lifetime,https://stream.freetv.fun/lifetime-1.ctv
Lifetime,https://stream.freetv.fun/lifetime-3.m3u8
Lifetime,https://stream.freetv.fun/ch-ng-lifetime-1.m3u8
THE PENTAGON CHANNEL,https://stream.freetv.fun/the-360-channel-2.m3u8
THE PENTAGON CHANNEL,https://stream.freetv.fun/the-360-channel-3.m3u8
THE PENTAGON CHANNEL,https://stream.freetv.fun/the-360-channel-1.m3u8
The Country Network,https://stream.freetv.fun/ch-ng-the-country-network-1.m3u8
UNIVISION,https://stream.freetv.fun/univision-2.m3u8
UNIVISION,https://stream.freetv.fun/univision-1.m3u8
USA Network,https://stream.freetv.fun/usa-network-1.ctv
VEVO 1[geo-blocked],https://stream.freetv.fun/vevo-8-1.m3u8
VEVO 2[geo-blocked],https://stream.freetv.fun/vevo-2k-2.m3u8
VEVO 2[geo-blocked],https://stream.freetv.fun/vevo-2k-3.m3u8
VEVO 2[geo-blocked],https://stream.freetv.fun/vevo-2k-1.m3u8
VH1,https://stream.freetv.fun/vh1-1.m3u8
Visual Radio TV,https://stream.freetv.fun/swr-3-visual-radio-1.m3u8
Visual Radio TV,https://stream.freetv.fun/swr-3-visual-radio-2.m3u8
We TV,https://stream.freetv.fun/we-tv-1.ctv
Wild N Out[geo-blocked],https://stream.freetv.fun/wild--n-out-1.m3u8
Generic,#genre#
A&E,https://stream.freetv.fun/a-e-2.ctv
A&E,https://stream.freetv.fun/a-e-3.ctv
A&E,https://stream.freetv.fun/a-e-4.m3u8
CBC Television[geo-blocked],https://stream.freetv.fun/fontana-community-television-1.m3u8
CBC Television,https://stream.freetv.fun/ptl-television-network-1.m3u8
CBC Television,https://stream.freetv.fun/ben-television-1.m3u8
CBC Television,https://stream.freetv.fun/ben-television-2.m3u8
CBC Television,https://stream.freetv.fun/newport-beach-television-1.m3u8
CBC Television,https://stream.freetv.fun/beverly-hills-television-35-2.m3u8
CBC Television,https://stream.freetv.fun/kern-county-television-1.m3u8
CBC Television[geo-blocked],https://stream.freetv.fun/fontana-community-television-2.m3u8
CBC Television,https://stream.freetv.fun/irvine-community-television-1.m3u8
CBC Television,https://stream.freetv.fun/ptl-television-network-2.m3u8
CBC Television,https://stream.freetv.fun/qatar-television-1.m3u8
CBC Television,https://stream.freetv.fun/retro-music-television-1.m3u8
CBC Television,https://stream.freetv.fun/irvine-community-television-2.m3u8
CBC Television,https://stream.freetv.fun/kern-county-television-2.m3u8
CBC Television,https://stream.freetv.fun/newport-beach-television-2.m3u8
CBC Television,https://stream.freetv.fun/wmbc-digital-television-1.m3u8
CBC Television,https://stream.freetv.fun/notre-television-1.m3u8
CBC Television,https://stream.freetv.fun/long-beach-television-1.m3u8
CBC Television,https://stream.freetv.fun/buena-park-television-1.m3u8
CBC Television,https://stream.freetv.fun/new-canaan-television-79-1.m3u8
CBC Television[geo-blocked],https://stream.freetv.fun/story-television-1.m3u8
CBC Television,https://stream.freetv.fun/coral-gables-television-1.m3u8
CBC Television[geo-blocked],https://stream.freetv.fun/country-music-television-1.m3u8
CBC Television,https://stream.freetv.fun/tvs-television-network-1.m3u8
CBC Television,https://stream.freetv.fun/tc-television-1.ctv
CBC Television,https://stream.freetv.fun/retro-music-television-2.m3u8
CBC Television,https://stream.freetv.fun/top-40-television-1.m3u8
CBC Television[geo-blocked],https://stream.freetv.fun/skylink-television-2-1.m3u8
CBC Television[geo-blocked],https://stream.freetv.fun/skylink-television-1.m3u8
CBC Television,https://stream.freetv.fun/beverly-hills-television-35-1.m3u8
CBS 11,https://stream.freetv.fun/11-cs-1.m3u8
CBS 11,https://stream.freetv.fun/11-bs-1.m3u8
CBS NETWORK,https://stream.freetv.fun/acs-network-1.m3u8
CBS NETWORK,https://stream.freetv.fun/acs-network-2.m3u8
CBS NETWORK,https://stream.freetv.fun/cbs-new-york-1.m3u8
CBS Reality,https://stream.freetv.fun/cbs-reality-1.ctv
CW,https://stream.freetv.fun/cw-1.m3u8
HSN,https://stream.freetv.fun/hsn2-1.m3u8
HSN,https://stream.freetv.fun/hsn2-2.m3u8
MAX,https://stream.freetv.fun/tv-max-1.m3u8
MAX,https://stream.freetv.fun/d-max-1.m3u8
PARAMOUNT,https://stream.freetv.fun/388-paramount-1.m3u8
PARAMOUNT,https://stream.freetv.fun/paramount-5.m3u8
PARAMOUNT,https://stream.freetv.fun/paramount-1.m3u8
Paramount Network,https://stream.freetv.fun/paramount-network-2.m3u8
Paramount Network[geo-blocked],https://stream.freetv.fun/paramount-2.ctv
Paramount Network,https://stream.freetv.fun/paramount-3.ctv
Paramount Network,https://stream.freetv.fun/paramount-4.m3u8
Paramount Network,https://stream.freetv.fun/paramount-network-3.ctv
Paramount Network,https://stream.freetv.fun/paramount-network-1.m3u8
The CW Network[geo-blocked],https://stream.freetv.fun/the-design-network-1.m3u8
The CW Network,https://stream.freetv.fun/ch-ng-the-design-network-1.m3u8
The CW Network[geo-blocked],https://stream.freetv.fun/the-nostalgia-network-1.m3u8
The CW Network[geo-blocked],https://stream.freetv.fun/the-nostalgia-network-2.m3u8
The CW Network[geo-blocked],https://stream.freetv.fun/the-word-network-1.m3u8
The CW Network[geo-blocked],https://stream.freetv.fun/the-design-network-2.m3u8
UNIVERSAL TV,https://stream.freetv.fun/universal-tv-1.ctv
UNIVERSAL TV,https://stream.freetv.fun/univers-tv-1.m3u8
UNIVERSAL TV,https://stream.freetv.fun/univers-tv-2.m3u8
UNIVERSAL TV,https://stream.freetv.fun/universal-cinema-sd-1.ctv
UNIVERSAL TV,https://stream.freetv.fun/universal-premiere-sd-1.ctv
UNIVERSAL TV,https://stream.freetv.fun/206-universal-1.m3u8
UNIVERSAL TV,https://stream.freetv.fun/universal-cinema-este-1.m3u8
UNIVERSAL TV,https://stream.freetv.fun/universal-cinema-sd-2.m3u8
UNIVERSAL TV,https://stream.freetv.fun/universal-premiere-sd-2.m3u8
Unimas,https://stream.freetv.fun/unimas-1.m3u8
VOX Norway  (USA),https://stream.freetv.fun/vox-1.m3u8
華語電視,https://stream.freetv.fun/hua-yu-dian-shi-2-2.m3u8
華語電視,https://stream.freetv.fun/hua-yu-dian-shi-2-3.m3u8
華語電視,https://stream.freetv.fun/hua-yu-dian-shi-3-4.m3u8
華語電視,https://stream.freetv.fun/hua-yu-dian-shi-2-5.m3u8
華語電視,https://stream.freetv.fun/hua-yu-dian-shi-2-1.m3u8
華語電視,https://stream.freetv.fun/hua-yu-dian-shi-3-1.m3u8
