#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


Entertainment,#genre#
BBC 4 Kids[geo-blocked],https://stream.freetv.fun/bbc-kids-1.m3u8
BBC Entertainment,https://stream.freetv.fun/cg-entertainment-2.m3u8
BBC Entertainment[geo-blocked],https://stream.freetv.fun/entertainment-hub-1.m3u8
BBC Entertainment,https://stream.freetv.fun/ch-ng-bbc-entertainment-1.m3u8
BBC Entertainment,https://stream.freetv.fun/cg-entertainment-1.m3u8
Chart Show TV UK,https://stream.freetv.fun/show-tv-1.m3u8
ITV2,https://stream.freetv.fun/itv2-2.ctv
ITV3,https://stream.freetv.fun/itv3-2.ctv
Kiss TV,https://stream.freetv.fun/kiss-kiss-tv-1.m3u8
Pop UK[geo-blocked],https://stream.freetv.fun/pop-2.m3u8
Sky Cinema Disney,https://stream.freetv.fun/sky-cinema-disney-1.ctv
Sky Cinema Disney,https://stream.freetv.fun/sky-cinema-disney-2.ctv
Sky Cinema Disney,https://stream.freetv.fun/sky-cinema-disney-4.ctv
Spirit TV,https://stream.freetv.fun/sky-high-spirit-1.m3u8
Spirit TV[geo-blocked],https://stream.freetv.fun/spirit-tv-1.m3u8
Tiny Pop UK,https://stream.freetv.fun/tiny-1.m3u8
Tiny Pop UK,https://stream.freetv.fun/tiny-pop-1.m3u8
Tiny Pop UK,https://stream.freetv.fun/tiny-pop-2.m3u8
VH1 Classic,https://stream.freetv.fun/vf-classic-1.m3u8
VH1 Classic,https://stream.freetv.fun/vb-vhs-classic-1.m3u8
heart tv[geo-blocked],https://stream.freetv.fun/eartho-tv-1.m3u8
Generic,#genre#
5 Star UK,https://stream.freetv.fun/5-star-uk-1.ctv
5USA UK,https://stream.freetv.fun/5usa-uk-1.ctv
5USA UK,https://stream.freetv.fun/5usa-uk-2.ctv
