更新时间,#genre#
20240615,url

卫视频道,#genre#
CGTN英语,http://live.cgtn.com/1000/prog_index.m3u8,93
三沙卫视,http://61.138.128.226:19901/tsfile/live/1020_1.m3u8,439
三沙卫视,https://live.goodiptv.club/api/ghyx.php?id=SanShaHD2_6000,2662
上海卫视,http://124.228.160.126:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,316
上海卫视,http://106.46.114.104:8011/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0,324
上海卫视,http://175.10.228.46:8081/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,334
上海卫视,http://223.151.51.74:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,448
上海卫视,http://171.117.29.144:9999/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,529
上海卫视,http://223.159.10.136:8099/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0,581
上海卫视,http://58.53.152.98:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,1400
上海卫视,http://123.138.216.44:9902/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,2083
上海卫视,http://222.241.154.37:9901/tsfile/live/23033_1.m3u8?key=txiptv&playlive=1&authid=0,2486
东南卫视,http://175.10.228.46:8081/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,266
东南卫视,http://124.228.160.126:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,334
东南卫视,http://106.46.114.104:8011/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0,343
东南卫视,http://223.159.10.136:8099/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0,358
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8,763
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8,862
东南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226341/index.m3u8,865
东南卫视,http://112.235.202.80:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,872
东南卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel80/1300.m3u8,1210
东南卫视,http://118.248.172.101:8088/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0,1445
东南卫视,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv,1940
东南卫视,http://210.210.155.37/uq2663/h/h157/index2.m3u8,2906
东南卫视,http://124.165.251.82:9999/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0,2924
东南卫视,https://live.goodiptv.club/api/sxg.php?id=dnwsfjwsH265_4000,3611
东南卫视,http://222.241.154.37:9901/tsfile/live/23037_1.m3u8?key=txiptv&playlive=1&authid=0,3793
东南卫视,https://live.goodiptv.club/api/bestv.php?id=dnwshd8m/8000000,4017
东南卫视,https://live.goodiptv.club/api/ghyx.php?id=FuJianHD_6000,4067
东南卫视,http://36.40.236.218:9999/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0,4698
