更新时间,#genre#
20240616,url

綜藝,#genre#
ROCK Entertainment,https://stream.freetv.fun/ph-rock-entertainment-1.ctv
RTHK31,https://stream.freetv.fun/rthk35-1.m3u8
RTHK31[geo-blocked],https://stream.freetv.fun/rthktv31-1.ctv
TVB Plus,https://stream.freetv.fun/tvb-plus-2.m3u8
TVB Plus,https://stream.freetv.fun/j2-2.ctv
TVB Plus,https://stream.freetv.fun/j2-3.ctv
TVB Plus,https://stream.freetv.fun/tvb-plus-5.ctv
TVBS綜藝,https://stream.freetv.fun/tvbszong-yi-2.ctv
TVB娛樂新聞,https://stream.freetv.fun/tvbyu-le-xin-wen-1.m3u8
TVB娛樂新聞,https://stream.freetv.fun/tvbyu-le-xin-wen-2.m3u8
ViuTV HD,https://stream.freetv.fun/viutv-1.ctv
ViuTV HD,https://stream.freetv.fun/viutv-5.ctv
ViuTV HD,https://stream.freetv.fun/viutv-2.ctv
ViuTV HD[geo-blocked],https://stream.freetv.fun/viutv-4.m3u8
三立都會,https://stream.freetv.fun/san-li-du-hui-3.ctv
三立都會,https://stream.freetv.fun/san-li-du-hui-1.ctv
八大娛樂臺,https://stream.freetv.fun/ba-da-yu-le-1.ctv
民視綜藝,https://stream.freetv.fun/min-shi-zong-yi-2.ctv
緯來日本,rtmp://220.130.201.73/sat/tv771
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來日本,https://stream.freetv.fun/wei-lai-ri-ben-7.ctv
緯來日本,https://stream.freetv.fun/wei-lai-ri-ben-6.ctv

綜合,#genre#
ATV WORLD,https://stream.freetv.fun/atv-2.m3u8
ATV WORLD,https://stream.freetv.fun/atv-1.m3u8
ELTA綜合HD,https://stream.freetv.fun/eltazong-he-1.ctv
ELTA綜合HD,https://stream.freetv.fun/eltazong-he-2.ctv
MOMO綜合,rtmp://f13h.mine.nu/sat/tv761
Now TV,https://stream.freetv.fun/axs-tv-now-4.m3u8
Now TV,https://stream.freetv.fun/axs-tv-now-2.m3u8
Pearl[geo-blocked],https://stream.freetv.fun/pearl-ming-zhu-1.m3u8
TVB J1[geo-blocked],https://stream.freetv.fun/tvb-j2-1.m3u8
TVB 翡翠臺,https://stream.freetv.fun/tvb-fei-cui-2.ctv
TVB 翡翠臺,https://stream.freetv.fun/tvb-fei-cui-1.ctv
TVBS,https://stream.freetv.fun/tvbs-3.m3u8
TVBS,https://stream.freetv.fun/tvbs-xin-wen-2.ctv
TVBS,https://stream.freetv.fun/tvbs-7.ctv
TVBS,https://stream.freetv.fun/tvbs-5.ctv
TVBS,https://stream.freetv.fun/tvbs-huan-le-2.ctv
TVBS,https://stream.freetv.fun/tvbs-huan-le-1.ctv
TVBS,https://stream.freetv.fun/tvbs-4.ctv
TVBS,https://stream.freetv.fun/tvbs-xin-wen-1.ctv
TVBS Asia,https://stream.freetv.fun/tvbs-asia-2.ctv
TVBS Asia,https://stream.freetv.fun/tvbs-asia-3.ctv
TVBS[geo-blocked],https://stream.freetv.fun/tvbs-6.m3u8
TVBS綜合,https://stream.freetv.fun/tvbszong-yi-1.ctv
TVB翡翠,https://stream.freetv.fun/tvbfei-cui-4.ctv
TVB翡翠[geo-blocked],https://stream.freetv.fun/tvbfei-cui-5.m3u8
WIN HD綜合,https://stream.freetv.fun/win-1.ctv
三立綜合[geo-blocked],https://stream.freetv.fun/san-li-zong-he-1.m3u8
三立臺灣,https://stream.freetv.fun/san-li-tai-wan-2.ctv
三立臺灣[geo-blocked],https://stream.freetv.fun/san-li-tai-wan-3.m3u8
中天亞洲,https://stream.freetv.fun/zhong-tian-ya-zhou-3.ctv
中天亞洲,https://stream.freetv.fun/zhong-tian--ya-zhou-1.m3u8
中天亞洲,https://stream.freetv.fun/zhong-tian-ya-zhou-4.ctv
中視,rtmp://f13h.mine.nu/sat/tv091
中視,https://stream.freetv.fun/zhong-shi-9.ctv
中視經典[geo-blocked],https://stream.freetv.fun/zhong-shi-jing-dian-2.m3u8
八大綜合,https://stream.freetv.fun/ba-da-zong-he-2.m3u8
八大綜合,https://stream.freetv.fun/ba-da-zong-he-4.ctv
八大綜合,https://stream.freetv.fun/ba-da-zong-he-3.ctv
八大綜藝,https://stream.freetv.fun/ba-da-zong-yi-2.ctv
八大綜藝,https://stream.freetv.fun/ba-da-zong-yi-1.ctv
公視,https://stream.freetv.fun/gong-shi-1.ctv
